,Open,High,Low,Close,ma_diff,sar_diff,trend
12-05-2022 23:00,28636.87109375,29181.05859375,28636.87109375,29063.31640625,25.666098560923274,-33.905932812500396,Uptrend
13-05-2022 00:00,29030.91015625,29428.41015625,28782.330078125,29428.41015625,185.72032110122018,-33.227814156249224,Uptrend
13-05-2022 01:00,29442.822265625,29602.939453125,29260.662109375,29475.982421875,287.6918099695358,-32.5632578731238,Uptrend
13-05-2022 02:00,29470.33203125,30023.140625,29438.6875,29979.68359375,459.99419941686574,-1595.5996357831282,Uptrend
13-05-2022 03:00,29997.8203125,30628.19140625,29997.8203125,30628.19140625,703.726256363927,39.827226562498254,Uptrend
13-05-2022 04:00,30595.001953125,30595.001953125,30308.48828125,30442.2265625,784.1213832688554,102.2633953125005,Uptrend
13-05-2022 05:00,30437.140625,30921.2734375,30402.0859375,30585.189453125,841.7597231930558,98.1728594999986,Uptrend
13-05-2022 06:00,30564.626953125,30598.265625,30383.83203125,30383.83203125,801.860931805888,158.95383955500074,Uptrend
13-05-2022 07:00,30391.279296875,30396.634765625,30210.046875,30210.046875,710.961673392012,149.41660918169873,Uptrend
13-05-2022 08:00,30208.259765625,30371.984375,30172.748046875,30295.466796875,653.9014140525469,140.45161263079717,Uptrend
13-05-2022 09:00,30311.125,30665.77734375,30311.125,30418.2890625,627.9687362965196,132.02451587294854,Uptrend
13-05-2022 10:00,30425.9609375,30473.81640625,30207.30859375,30473.81640625,605.6120843747412,124.10304492057185,Uptrend
13-05-2022 11:00,30463.71875,30626.30078125,30299.6875,30626.30078125,609.2071428385971,116.65686222533986,Uptrend
13-05-2022 12:00,30620.74609375,30744.67578125,30482.59375,30679.6875,604.7468050163625,109.65745049181714,Uptrend
13-05-2022 13:00,30687.013671875,30746.068359375,30434.6953125,30746.068359375,598.6630977679088,103.07800346230943,Uptrend
13-05-2022 14:00,30738.625,30924.802734375,30659.078125,30759.517578125,579.1905772960527,96.89332325457144,Uptrend
13-05-2022 15:00,30756.1015625,30756.1015625,30324.46875,30335.58203125,448.12121006354937,121.72197556239553,Uptrend
13-05-2022 16:00,30337.330078125,30464.466796875,29871.814453125,29954.341796875,264.06594195899015,111.98421751740534,Uptrend
13-05-2022 17:00,29948.38671875,30175.650390625,29712.138671875,29712.138671875,86.99802216706303,1287.8185014501469,Uptrend
13-05-2022 18:00,29693.255859375,30085.6328125,29475.90234375,30085.6328125,66.36048427734568,-24.253281249999418,Uptrend
